depth (um),width (um),overlapDepth (um)
125.513,137.906,68.885
119.843,149.733,84.843
129.502,151.027,89.239
124.201,159.250,90.582
131.315,159.732,94.857
126.390,162.033,92.294
132.517,165.422,96.989
127.736,163.811,93.440
133.295,169.468,98.481
128.706,165.167,94.326
133.784,172.363,99.091
129.366,166.252,96.455
134.164,174.557,96.455
129.784,167.136,97.974
134.460,175.784,97.974
130.103,168.236,98.624
134.690,176.516,101.328
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,99.617
130.355,169.128,99.617
134.874,177.030,
mean: 130.694,mean: 169.569,mean: 88.468
