t,x,y,rhf
0.000000000000000000e+00,8.000000000000000654e-05,8.000000000000000654e-05,6.999999999999999556e-01
5.251736111111111183e-05,8.000000000000000654e-05,1.304166666666666744e-04,6.999999999999999556e-01
1.050347222222222237e-04,8.000000000000000654e-05,1.808333333333333288e-04,6.999999999999999556e-01
1.575520833333333287e-04,8.000000000000000654e-05,2.312500000000000102e-04,6.999999999999999556e-01
2.100694444444444473e-04,8.000000000000000654e-05,2.816666666666666646e-04,6.999999999999999556e-01
2.625868055555555659e-04,8.000000000000000654e-05,3.320833333333333189e-04,6.999999999999999556e-01
3.151041666666666574e-04,8.000000000000000654e-05,3.824999999999999733e-04,6.999999999999999556e-01
3.676215277777778031e-04,8.000000000000000654e-05,4.329166666666666276e-04,6.999999999999999556e-01
4.201388888888888946e-04,8.000000000000000654e-05,4.833333333333332820e-04,6.999999999999999556e-01
4.726562499999999861e-04,8.000000000000000654e-05,5.337499999999999363e-04,7.435632909958910242e-01
5.251736111111111318e-04,8.000000000000000654e-05,5.841666666666666449e-04,7.875732272295137282e-01
5.776909722222222775e-04,8.000000000000000654e-05,6.345833333333332450e-04,8.258639978187171105e-01
6.302083333333333148e-04,8.000000000000000654e-05,6.849999999999999535e-04,8.589238067714803915e-01
6.827256944444444605e-04,8.000000000000000654e-05,7.354166666666665537e-04,8.872215495107785843e-01
7.352430555555556062e-04,8.000000000000000654e-05,7.858333333333332622e-04,9.112068128745808293e-01
7.877604166666666435e-04,8.000000000000000654e-05,8.362499999999998624e-04,9.313098751158509492e-01
8.402777777777777892e-04,8.000000000000000654e-05,8.866666666666665709e-04,9.479417059025471159e-01
8.927951388888889350e-04,8.000000000000000654e-05,9.370833333333332795e-04,9.614939663176225171e-01
9.453124999999999722e-04,8.000000000000000654e-05,9.874999999999998796e-04,9.723390088590245783e-01
9.978298611111112264e-04,8.000000000000000654e-05,1.037916666666666588e-03,9.808298774396954078e-01
1.050347222222222264e-03,8.000000000000000654e-05,1.088333333333333297e-03,9.873003073875714630e-01
1.102864583333333301e-03,8.000000000000000654e-05,1.138749999999999788e-03,9.920647254455847719e-01
1.155381944444444555e-03,8.000000000000000654e-05,1.189166666666666497e-03,9.954182497716602684e-01
1.207899305555555592e-03,8.000000000000000654e-05,1.239583333333333206e-03,9.976366899387185683e-01
1.260416666666666630e-03,8.000000000000000654e-05,1.289999999999999914e-03,9.989765469346747473e-01
1.312934027777777884e-03,8.000000000000000654e-05,1.340416666666666623e-03,9.996750131624387858e-01
1.365451388888888921e-03,8.000000000000000654e-05,1.390833333333333114e-03,9.999499724399146805e-01
1.417968749999999958e-03,8.000000000000000654e-05,1.441249999999999823e-03,1.000000000000000666e+00
1.470486111111111212e-03,8.000000000000000654e-05,1.491666666666666531e-03,1.000000000000000444e+00
1.523003472222222250e-03,8.000000000000000654e-05,1.542083333333333240e-03,1.000000000000000444e+00
1.575520833333333287e-03,8.000000000000000654e-05,1.592499999999999732e-03,1.000000000000000666e+00
1.628038194444444541e-03,8.000000000000000654e-05,1.642916666666666440e-03,1.000000000000000666e+00
1.680555555555555578e-03,8.000000000000000654e-05,1.693333333333333149e-03,1.000000000000000444e+00
1.733072916666666616e-03,8.000000000000000654e-05,1.743749999999999857e-03,1.000000000000000444e+00
1.785590277777777870e-03,8.000000000000000654e-05,1.794166666666666566e-03,1.000000000000000222e+00
1.838107638888888907e-03,8.000000000000000654e-05,1.844583333333333058e-03,1.000000000000000666e+00
1.890624999999999944e-03,8.000000000000000654e-05,1.894999999999999766e-03,1.000000000000000666e+00
1.943142361111111199e-03,8.000000000000000654e-05,1.945416666666666475e-03,1.000000000000000444e+00
1.995659722222222453e-03,8.000000000000000654e-05,1.995833333333333400e-03,9.999999999999998890e-01
