depth (um),width (um),overlapDepth (um)
75.149,72.043,20.000
116.875,137.384,20.000
79.337,78.979,20.000
118.067,141.879,20.000
79.869,81.020,20.000
118.660,144.296,20.000
80.157,82.287,20.000
119.062,145.989,20.000
81.112,83.219,20.000
119.391,147.335,20.000
81.153,84.020,20.000
119.660,148.493,20.000
81.135,84.764,20.000
119.886,149.454,20.000
82.003,85.400,20.000
120.128,150.219,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
120.393,150.787,20.000
81.985,85.949,20.000
mean: 100.154,mean: 116.934,mean: 20.000
