t,x,y,rhf
0.000000000000000000e+00,8.000000000000000654e-05,8.000000000000000654e-05,8.659999999999999920e-01
5.468750000000000114e-05,8.000000000000000654e-05,1.325000000000000223e-04,8.659999999999999920e-01
1.093750000000000023e-04,8.000000000000000654e-05,1.849999999999999973e-04,8.659999999999999920e-01
1.640625000000000102e-04,8.000000000000000654e-05,2.375000000000000266e-04,8.659999999999999920e-01
2.187500000000000046e-04,8.000000000000000654e-05,2.900000000000000017e-04,8.659999999999999920e-01
2.734375000000000260e-04,8.000000000000000654e-05,3.425000000000000310e-04,8.659999999999999920e-01
3.281250000000000204e-04,8.000000000000000654e-05,3.950000000000000061e-04,8.659999999999999920e-01
3.828125000000000147e-04,8.000000000000000654e-05,4.474999999999999811e-04,9.196738076580827093e-01
4.375000000000000091e-04,8.000000000000000654e-05,5.000000000000000104e-04,1.000000000000000000e+00
4.921875000000000035e-04,8.000000000000000654e-05,5.525000000000000397e-04,1.034000000000000030e+00
5.468750000000000520e-04,8.000000000000000654e-05,6.050000000000000690e-04,1.034000000000000030e+00
6.015624999999999922e-04,8.000000000000000654e-05,6.574999999999999898e-04,1.034000000000000030e+00
6.562500000000000408e-04,8.000000000000000654e-05,7.100000000000000191e-04,1.034000000000000030e+00
7.109374999999999809e-04,8.000000000000000654e-05,7.625000000000000484e-04,1.034000000000000030e+00
7.656250000000000295e-04,8.000000000000000654e-05,8.149999999999999693e-04,1.034000000000000030e+00
8.203124999999999696e-04,8.000000000000000654e-05,8.674999999999999985e-04,1.034000000000000030e+00
8.750000000000000182e-04,8.000000000000000654e-05,9.200000000000000278e-04,1.034000000000000030e+00
1.625000000000000142e-03,1.900000000000000105e-04,9.200000000000000278e-04,1.010304568544652781e+00
1.679687500000000191e-03,1.900000000000000105e-04,8.674999999999999985e-04,1.034000000000000030e+00
1.734375000000000239e-03,1.900000000000000105e-04,8.149999999999999693e-04,1.034000000000000030e+00
1.789062500000000071e-03,1.900000000000000105e-04,7.625000000000000484e-04,1.034000000000000030e+00
1.843750000000000120e-03,1.900000000000000105e-04,7.100000000000000191e-04,1.034000000000000030e+00
1.898437500000000168e-03,1.900000000000000105e-04,6.574999999999999898e-04,1.034000000000000030e+00
1.953125000000000000e-03,1.900000000000000105e-04,6.050000000000000690e-04,1.034000000000000030e+00
2.007812500000000049e-03,1.900000000000000105e-04,5.525000000000000397e-04,1.034000000000000030e+00
2.062500000000000097e-03,1.900000000000000105e-04,5.000000000000000104e-04,1.034000000000000030e+00
2.117187500000000146e-03,1.900000000000000105e-04,4.474999999999999811e-04,1.034000000000000030e+00
2.171875000000000194e-03,1.900000000000000105e-04,3.949999999999999518e-04,1.034000000000000030e+00
2.226562500000000243e-03,1.900000000000000105e-04,3.425000000000000310e-04,1.034000000000000030e+00
2.281250000000000291e-03,1.900000000000000105e-04,2.900000000000000017e-04,1.034000000000000030e+00
2.335937500000000340e-03,1.900000000000000105e-04,2.374999999999999724e-04,1.034000000000000030e+00
2.390625000000000389e-03,1.900000000000000105e-04,1.850000000000000516e-04,1.034000000000000030e+00
2.445312500000000003e-03,1.900000000000000105e-04,1.325000000000000223e-04,1.034000000000000030e+00
2.500000000000000052e-03,1.900000000000000105e-04,8.000000000000000654e-05,1.034000000000000030e+00
3.250000000000000284e-03,2.999999999999999737e-04,8.000000000000000654e-05,1.034000000000000030e+00
3.304687500000000333e-03,2.999999999999999737e-04,1.325000000000000223e-04,1.034000000000000030e+00
3.359375000000000382e-03,2.999999999999999737e-04,1.849999999999999973e-04,1.034000000000000030e+00
3.414062500000000430e-03,2.999999999999999737e-04,2.375000000000000266e-04,1.034000000000000030e+00
3.468750000000000479e-03,2.999999999999999737e-04,2.900000000000000017e-04,1.034000000000000030e+00
3.523437500000000527e-03,2.999999999999999737e-04,3.425000000000000310e-04,1.034000000000000030e+00
3.578125000000000142e-03,2.999999999999999737e-04,3.950000000000000061e-04,1.034000000000000030e+00
3.632812500000000191e-03,2.999999999999999737e-04,4.474999999999999811e-04,1.034000000000000030e+00
3.687500000000000239e-03,2.999999999999999737e-04,5.000000000000000104e-04,1.034000000000000030e+00
3.742187500000000288e-03,2.999999999999999737e-04,5.525000000000000397e-04,1.034000000000000030e+00
3.796875000000000337e-03,2.999999999999999737e-04,6.050000000000000690e-04,1.034000000000000030e+00
3.851562500000000385e-03,2.999999999999999737e-04,6.574999999999999898e-04,1.034000000000000030e+00
3.906250000000000000e-03,2.999999999999999737e-04,7.100000000000000191e-04,1.034000000000000030e+00
3.960937500000000049e-03,2.999999999999999737e-04,7.625000000000000484e-04,1.034000000000000030e+00
4.015625000000000097e-03,2.999999999999999737e-04,8.149999999999999693e-04,1.034000000000000030e+00
4.070312500000000146e-03,2.999999999999999737e-04,8.674999999999999985e-04,1.034000000000000030e+00
4.125000000000000194e-03,2.999999999999999737e-04,9.200000000000000278e-04,1.034000000000000030e+00
4.874999999999999993e-03,4.099999999999999912e-04,9.200000000000000278e-04,1.034000000000000030e+00
4.929687500000000042e-03,4.099999999999999912e-04,8.674999999999999985e-04,1.034000000000000030e+00
4.984375000000000090e-03,4.099999999999999912e-04,8.149999999999999693e-04,1.034000000000000030e+00
5.039062500000000139e-03,4.099999999999999912e-04,7.625000000000000484e-04,1.034000000000000030e+00
5.093750000000000187e-03,4.099999999999999912e-04,7.100000000000000191e-04,1.034000000000000030e+00
5.148437500000000236e-03,4.099999999999999912e-04,6.574999999999999898e-04,1.034000000000000030e+00
5.203125000000000284e-03,4.099999999999999912e-04,6.050000000000000690e-04,1.034000000000000030e+00
5.257812500000000333e-03,4.099999999999999912e-04,5.525000000000000397e-04,1.034000000000000030e+00
5.312500000000000382e-03,4.099999999999999912e-04,5.000000000000000104e-04,1.034000000000000030e+00
