depth (um),width (um),overlapDepth (um)
120.533,128.943,93.115
148.944,189.486,133.069
158.476,246.526,143.553
161.338,309.868,147.746
166.724,361.078,152.410
166.619,410.849,154.640
168.961,448.975,156.099
168.105,484.919,157.063
169.519,512.834,157.449
168.526,537.726,157.956
169.733,555.543,157.925
168.676,572.244,158.306
169.820,584.157,158.121
168.739,593.746,158.452
169.859,599.920,158.233
168.764,605.818,158.521
169.877,608.717,158.282
169.886,610.893,158.299
168.782,613.097,158.561
169.891,614.155,158.310
168.786,614.499,158.569
169.893,615.509,158.263
168.787,615.859,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,158.263
168.787,616.220,
mean: 166.946,mean: 555.382,mean: 154.562
