t,x,y,rhf
0.000000000000000000e+00,8.000000000000000654e-05,8.000000000000000654e-05,8.659999999999999920e-01
5.468750000000000114e-05,8.000000000000000654e-05,1.325000000000000223e-04,8.659999999999999920e-01
1.093750000000000023e-04,8.000000000000000654e-05,1.849999999999999973e-04,8.659999999999999920e-01
1.640625000000000102e-04,8.000000000000000654e-05,2.375000000000000266e-04,8.659999999999999920e-01
2.187500000000000046e-04,8.000000000000000654e-05,2.900000000000000017e-04,8.659999999999999920e-01
2.734375000000000260e-04,8.000000000000000654e-05,3.425000000000000310e-04,8.659999999999999920e-01
3.281250000000000204e-04,8.000000000000000654e-05,3.950000000000000061e-04,8.659999999999999920e-01
3.828125000000000147e-04,8.000000000000000654e-05,4.474999999999999811e-04,9.196738076580827093e-01
4.375000000000000091e-04,8.000000000000000654e-05,5.000000000000000104e-04,1.000000000000000000e+00
4.921875000000000035e-04,8.000000000000000654e-05,5.525000000000000397e-04,1.034000000000000030e+00
5.468750000000000520e-04,8.000000000000000654e-05,6.050000000000000690e-04,1.034000000000000030e+00
6.015624999999999922e-04,8.000000000000000654e-05,6.574999999999999898e-04,1.034000000000000030e+00
6.562500000000000408e-04,8.000000000000000654e-05,7.100000000000000191e-04,1.034000000000000030e+00
7.109374999999999809e-04,8.000000000000000654e-05,7.625000000000000484e-04,1.034000000000000030e+00
7.656250000000000295e-04,8.000000000000000654e-05,8.149999999999999693e-04,1.034000000000000030e+00
8.203124999999999696e-04,8.000000000000000654e-05,8.674999999999999985e-04,1.034000000000000030e+00
8.750000000000000182e-04,8.000000000000000654e-05,9.200000000000000278e-04,1.034000000000000030e+00
5.875000000000000014e-03,1.900000000000000105e-04,9.200000000000000278e-04,8.659999999999999920e-01
5.929687500000000062e-03,1.900000000000000105e-04,8.674999999999999985e-04,8.659999999999999920e-01
5.984375000000000111e-03,1.900000000000000105e-04,8.149999999999999693e-04,8.659999999999999920e-01
6.039062500000000160e-03,1.900000000000000105e-04,7.625000000000000484e-04,8.659999999999999920e-01
6.093750000000000208e-03,1.900000000000000105e-04,7.100000000000000191e-04,8.659999999999999920e-01
6.148437500000000257e-03,1.900000000000000105e-04,6.574999999999999898e-04,8.659999999999999920e-01
6.203125000000000305e-03,1.900000000000000105e-04,6.050000000000000690e-04,8.659999999999999920e-01
6.257812500000000354e-03,1.900000000000000105e-04,5.525000000000000397e-04,9.196738076580824872e-01
6.312500000000000402e-03,1.900000000000000105e-04,5.000000000000000104e-04,1.000000000000000000e+00
6.367187499999999584e-03,1.900000000000000105e-04,4.474999999999999811e-04,1.034000000000000030e+00
6.421875000000000500e-03,1.900000000000000105e-04,3.949999999999999518e-04,1.034000000000000030e+00
6.476562499999999681e-03,1.900000000000000105e-04,3.425000000000000310e-04,1.034000000000000030e+00
6.531249999999999729e-03,1.900000000000000105e-04,2.900000000000000017e-04,1.034000000000000030e+00
6.585937499999999778e-03,1.900000000000000105e-04,2.374999999999999724e-04,1.034000000000000030e+00
6.640624999999999827e-03,1.900000000000000105e-04,1.850000000000000516e-04,1.034000000000000030e+00
6.695312499999999875e-03,1.900000000000000105e-04,1.325000000000000223e-04,1.034000000000000030e+00
6.749999999999999924e-03,1.900000000000000105e-04,8.000000000000000654e-05,1.034000000000000030e+00
1.175000000000000003e-02,2.999999999999999737e-04,8.000000000000000654e-05,8.659999999999999920e-01
1.180468749999999921e-02,2.999999999999999737e-04,1.325000000000000223e-04,8.659999999999999920e-01
1.185937500000000012e-02,2.999999999999999737e-04,1.849999999999999973e-04,8.659999999999999920e-01
1.191406249999999931e-02,2.999999999999999737e-04,2.375000000000000266e-04,8.659999999999999920e-01
1.196875000000000022e-02,2.999999999999999737e-04,2.900000000000000017e-04,8.659999999999999920e-01
1.202343749999999940e-02,2.999999999999999737e-04,3.425000000000000310e-04,8.659999999999999920e-01
1.207812500000000032e-02,2.999999999999999737e-04,3.950000000000000061e-04,8.659999999999999920e-01
1.213281249999999950e-02,2.999999999999999737e-04,4.474999999999999811e-04,9.196738076580827093e-01
1.218750000000000042e-02,2.999999999999999737e-04,5.000000000000000104e-04,9.999999999999996669e-01
1.224218749999999960e-02,2.999999999999999737e-04,5.525000000000000397e-04,1.034000000000000030e+00
1.229687500000000051e-02,2.999999999999999737e-04,6.050000000000000690e-04,1.034000000000000030e+00
1.235156249999999969e-02,2.999999999999999737e-04,6.574999999999999898e-04,1.034000000000000030e+00
1.240625000000000061e-02,2.999999999999999737e-04,7.100000000000000191e-04,1.034000000000000030e+00
1.246093749999999979e-02,2.999999999999999737e-04,7.625000000000000484e-04,1.034000000000000030e+00
1.251562500000000071e-02,2.999999999999999737e-04,8.149999999999999693e-04,1.034000000000000030e+00
1.257031249999999989e-02,2.999999999999999737e-04,8.674999999999999985e-04,1.034000000000000030e+00
1.262500000000000080e-02,2.999999999999999737e-04,9.200000000000000278e-04,1.034000000000000030e+00
1.762500000000000178e-02,4.099999999999999912e-04,9.200000000000000278e-04,8.659999999999999920e-01
1.767968750000000269e-02,4.099999999999999912e-04,8.674999999999999985e-04,8.659999999999999920e-01
1.773437500000000014e-02,4.099999999999999912e-04,8.149999999999999693e-04,8.659999999999999920e-01
1.778906250000000105e-02,4.099999999999999912e-04,7.625000000000000484e-04,8.659999999999999920e-01
1.784375000000000197e-02,4.099999999999999912e-04,7.100000000000000191e-04,8.659999999999999920e-01
1.789843750000000289e-02,4.099999999999999912e-04,6.574999999999999898e-04,8.659999999999999920e-01
1.795312500000000033e-02,4.099999999999999912e-04,6.050000000000000690e-04,8.659999999999999920e-01
1.800781250000000125e-02,4.099999999999999912e-04,5.525000000000000397e-04,9.196738076580827093e-01
1.806250000000000216e-02,4.099999999999999912e-04,5.000000000000000104e-04,9.999999999999996669e-01
