depth (um),width (um),overlapDepth (um)
120.533,128.943,61.174
117.908,133.872,76.858
124.544,138.859,78.000
119.421,140.035,80.664
125.740,140.804,82.037
120.401,142.529,81.946
126.287,141.911,82.771
121.005,143.794,82.471
126.607,142.672,83.314
121.380,144.603,82.816
126.826,143.265,83.679
121.643,145.220,83.067
126.987,143.659,83.952
121.841,145.702,83.259
127.115,143.966,84.171
121.997,146.095,83.411
127.216,144.209,84.344
122.119,146.407,83.532
127.298,144.405,84.482
122.218,146.659,83.629
127.365,144.562,84.594
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,83.708
122.298,146.861,83.708
127.420,146.861,
mean: 124.290,mean: 144.818,mean: 82.715
